Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 1.14 (s),   Velocity: 3.42 (m/s),   Accel:   3.00 (m/s/s),   X:  2.33 (m),   Y:  1.42 (m),   Rot: -0.0779 (rads),   Rot:   -4.47 (deg),   Curve:    0.01 (rads/m)
Time: 1.16 (s),   Velocity: 3.49 (m/s),   Accel:   3.00 (m/s/s),   X:  2.40 (m),   Y:  1.41 (m),   Rot: -0.0770 (rads),   Rot:   -4.41 (deg),   Curve:    0.01 (rads/m)
Time: 1.18 (s),   Velocity: 3.55 (m/s),   Accel:   3.00 (m/s/s),   X:  2.48 (m),   Y:  1.41 (m),   Rot: -0.0758 (rads),   Rot:   -4.34 (deg),   Curve:    0.02 (rads/m)
Time: 1.20 (s),   Velocity: 3.61 (m/s),   Accel:   3.00 (m/s/s),   X:  2.55 (m),   Y:  1.40 (m),   Rot: -0.0742 (rads),   Rot:   -4.25 (deg),   Curve:    0.02 (rads/m)
Time: 1.22 (s),   Velocity: 3.67 (m/s),   Accel:   3.00 (m/s/s),   X:  2.62 (m),   Y:  1.40 (m),   Rot: -0.0722 (rads),   Rot:   -4.14 (deg),   Curve:    0.03 (rads/m)
Time: 1.24 (s),   Velocity: 3.73 (m/s),   Accel:   3.00 (m/s/s),   X:  2.70 (m),   Y:  1.39 (m),   Rot: -0.0699 (rads),   Rot:   -4.01 (deg),   Curve:    0.04 (rads/m)
Time: 1.26 (s),   Velocity: 3.79 (m/s),   Accel:   3.00 (m/s/s),   X:  2.77 (m),   Y:  1.39 (m),   Rot: -0.0672 (rads),   Rot:   -3.85 (deg),   Curve:    0.04 (rads/m)
Time: 1.28 (s),   Velocity: 3.84 (m/s),   Accel:   3.00 (m/s/s),   X:  2.84 (m),   Y:  1.38 (m),   Rot: -0.0641 (rads),   Rot:   -3.67 (deg),   Curve:    0.05 (rads/m)
Time: 1.30 (s),   Velocity: 3.90 (m/s),   Accel:   3.00 (m/s/s),   X:  2.91 (m),   Y:  1.38 (m),   Rot: -0.0606 (rads),   Rot:   -3.47 (deg),   Curve:    0.05 (rads/m)
Time: 1.32 (s),   Velocity: 3.95 (m/s),   Accel:   3.00 (m/s/s),   X:  2.98 (m),   Y:  1.37 (m),   Rot: -0.0566 (rads),   Rot:   -3.24 (deg),   Curve:    0.06 (rads/m)
